ID,profession,age,gender,highestDegree,maritalStatus,noOfKids,creditRisk,otherMembership,pastStays1y,blogger,articles,amexCard,purposeTravel,staySpend,loyaltyClass
76,Public Sector,,,MBA,Married,,2.93,None,1,No,20,Yes,Leisure Travel,2828.256782,Bronze
77,Public Sector,56,Female,Associate Degree,Married,1,2,None,41,Yes,0,Yes,Business,0.056455641,Bronze
78,Public Sector,33,Female,High School Equivalent,Married,0,3.33,IHG,,No,3,No,Leisure Travel,64.94512587,Silver
79,Business,42,Female,Bachelors Degree,Married,,2.91,IHG,11,No,10,No,Business,0,Bronze
80,Business,29,Male,MBA,Married,1,3.14,Jumeirah,39,No,13,No,Business,612.1680246,Bronze
81,Business,42,Male,MBA,Divorced,,2.61,None,10,Yes,0,Yes,Leisure Travel,1914.242726,Silver
82,Business,,Female,Associate Degree,Single,0,3.86,Discovery,21,Yes,0,Yes,Medical Tourism,0,Bronze
83,Private Sector,25,Female,High School Equivalent,Divorced,1,2.53,Marriott,,No,3,No,Leisure Travel,0,Silver
84,Private Sector,,Female,High School Equivalent,Divorced,,2.25,Marriott,30,Yes,0,Yes,Medical Tourism,531.244669,Silver
85,Private Sector,42,Female,Associate Degree,Widowed,,2.9,IHG,16,Yes,0,Yes,Medical Tourism,31709.01131,Bronze
86,Private Sector,,,MBA,Single,0,4,IHG,4,No,2,No,Business,41.80690646,Silver
87,Private Sector,24,Female,Masters Degree,Single,0,3.73,IHG,43,Yes,0,Yes,Business,528.4197018,Silver
88,Business,35,Female,Professional,Single,0,3.21,IHG,46,Yes,0,No,Leisure Travel,0,Bronze
89,Business,46,Female,High School Equivalent,Single,0,2,Expedia,15,No,8,No,Business,4.24824E-05,Silver
90,Business,,,Bachelors Degree,Single,,3.28,IHG,12,No,6,No,Leisure Travel,0,Silver
91,Private Sector,,Male,MBA,Divorced,1,2.84,None,37,No,4,No,Business,1033.357036,Bronze
92,Private Sector,,Female,High School Equivalent,Married,1,2.71,Hilton,,No,11,Yes,Medical Tourism,3500.740262,Bronze
93,Self-Employed,,Female,Doctorate,Widowed,,3.23,None,36,No,2,No,Business,0.016302799,Bronze
94,Private Sector,,Male,Professional,Widowed,,2.72,Jumeirah,4,No,3,No,Medical Tourism,156.3838538,Silver
95,Business,,Female,Bachelors Degree,Divorced,,2.5,None,31,Yes,0,Yes,Medical Tourism,0,Bronze
96,Self-Employed,20,Female,Associate Degree,Married,4,2.62,Marriott,48,No,14,Yes,Leisure Travel,7522.336312,Silver
97,Business,23,Female,MBA,Single,0,3.38,None,37,No,10,Yes,Leisure Travel,0,Bronze
98,Private Sector,49,Female,High School Equivalent,Married,,2.45,IHG,5,No,15,Yes,Medical Tourism,8.8798E-06,Silver
99,Business,,Female,Professional,Married,,3.31,Jumeirah,39,No,6,Yes,Medical Tourism,0,Silver
100,Business,52,,Associate Degree,Single,,2.75,Discovery,33,No,7,No,Business,9.54528834,Silver
101,Public Sector,29,Female,High School Equivalent,Married,0,2.64,Marriott,32,No,2,No,Business,0,Silver
102,Private Sector,45,Male,Associate Degree,Divorced,1,2.95,IHG,6,No,15,Yes,Leisure Travel,959.5079879,Bronze
103,Business,35,Female,High School Equivalent,Single,,2.65,None,17,No,4,No,Leisure Travel,126.0627999,Silver
104,Public Sector,28,Female,High School Equivalent,Married,,3.36,Marriott,27,No,14,No,Leisure Travel,892.8424976,Bronze
105,Public Sector,,Female,MBA,Divorced,0,3.98,Marriott,32,No,12,Yes,Medical Tourism,1457.506941,Bronze
106,Business,48,Male,MBA,Married,1,2.65,IHG,35,No,19,No,Business,27.63041002,Silver
107,Private Sector,,,Masters Degree,Married,,3.07,Hilton,18,No,1,No,Leisure Travel,2.71323E-10,Bronze
108,Private Sector,,,Bachelors Degree,Divorced,,2.19,IHG,46,Yes,0,No,Medical Tourism,332.5658136,Gold
109,Business,,,Professional,Single,0,4,Jumeirah,43,No,2,No,Leisure Travel,0.318872073,Silver
110,Private Sector,53,Female,High School Equivalent,Single,0,3.02,Marriott,1,Yes,0,No,Medical Tourism,0,Bronze
111,Business,,Male,MBA,Married,0,3.13,Discovery,22,No,17,Yes,Business,35806.19773,Silver
112,Business,59,Female,MBA,Single,0,2.64,None,39,Yes,0,Yes,Medical Tourism,0,Bronze
113,Private Sector,,Female,Professional,Married,,3.18,Marriott,25,No,16,Yes,Business,12980.50084,Silver
114,Private Sector,,Male,Bachelors Degree,Single,,2.81,None,34,No,6,Yes,Leisure Travel,14.09307665,Silver
115,Private Sector,,Male,MBA,Married,,2.35,Jumeirah,36,No,2,Yes,Leisure Travel,0,Bronze
116,Private Sector,45,,Associate Degree,Married,1,2.33,Jumeirah,1,No,8,No,Business,0,Bronze
117,Private Sector,33,,High School Equivalent,Divorced,0,1.91,Jumeirah,13,No,14,Yes,Medical Tourism,257.1528282,Silver
118,,51,Female,High School Equivalent,Divorced,2,2.73,Marriott,49,No,18,No,Business,0,Bronze
119,Private Sector,51,Female,Associate Degree,Divorced,2,3.24,Discovery,15,No,2,No,Medical Tourism,1.343276677,Silver
120,Private Sector,47,Male,MBA,Married,1,3.68,Hilton,,No,5,No,Leisure Travel,1975.920827,Silver
121,Public Sector,,,High School Equivalent,Single,0,2.6,None,40,Yes,0,Yes,Business,44.28989932,Silver
122,Private Sector,,Female,MBA,Single,0,1.51,IHG,29,No,8,Yes,Business,5568.865155,Silver
123,Public Sector,,,High School Equivalent,Married,0,2.64,None,49,No,2,Yes,Leisure Travel,0,Bronze
124,Business,53,Male,MBA,Married,,3.15,None,8,No,6,No,Business,2971.222791,Silver
125,Business,,,High School Equivalent,Divorced,3,2.78,Marriott,49,No,12,Yes,Medical Tourism,0,Silver
126,Private Sector,24,Female,Associate Degree,Widowed,1,3.17,IHG,35,No,2,Yes,Medical Tourism,0,Bronze
127,Private Sector,46,,High School Equivalent,Single,,3.66,IHG,48,Yes,0,Yes,Medical Tourism,0,Silver
128,Business,26,Female,Associate Degree,Divorced,3,4,Discovery,10,Yes,0,Yes,Medical Tourism,933.0444776,Bronze
129,Private Sector,,,Doctorate,Single,0,2.71,IHG,32,Yes,0,Yes,Leisure Travel,0,Bronze
130,Private Sector,44,Female,High School Equivalent,Divorced,3,3.05,IHG,14,No,11,No,Leisure Travel,0,Bronze
131,Business,23,Female,Bachelors Degree,Single,0,2.84,Discovery,1,Yes,0,Yes,Business,3441.636152,Silver
132,Private Sector,,Female,High School Equivalent,Married,,2.39,IHG,,No,12,Yes,Leisure Travel,5882.270209,Silver
133,Private Sector,,Male,MBA,Married,1,3.18,Marriott,3,Yes,0,No,Medical Tourism,0,Silver
134,Self-Employed,,Female,Bachelors Degree,Married,,2.81,IHG,37,Yes,0,No,Leisure Travel,8305.39122,Silver
135,Self-Employed,47,Female,MBA,Widowed,0,3.32,Marriott,0,No,16,No,Leisure Travel,112.9494995,Bronze
136,Business,60,,High School Equivalent,Divorced,,2.09,Marriott,22,Yes,0,Yes,Leisure Travel,0.701710606,Silver
137,Business,27,Female,Associate Degree,Divorced,1,2.9,IHG,10,No,12,No,Business,71.02898594,Silver
138,Private Sector,,Male,Bachelors Degree,Divorced,0,3.11,Jumeirah,16,No,12,No,Business,0,Gold
139,Self-Employed,,,High School Equivalent,Single,,1.61,Discovery,2,Yes,0,No,Business,7084.361795,Silver
140,Business,35,Female,Associate Degree,Divorced,,2.53,IHG,39,Yes,0,No,Business,321.9250715,Silver
141,Public Sector,51,Male,MBA,Single,0,2.38,Marriott,26,No,3,No,Leisure Travel,0,Bronze
142,Business,,Female,Associate Degree,Married,1,2.8,None,0,No,15,Yes,Leisure Travel,1156.596463,Bronze
143,Public Sector,,Male,High School Equivalent,Widowed,1,2.69,None,5,No,6,No,Medical Tourism,5980.073096,Silver
144,Business,,Male,High School Equivalent,Widowed,,3.18,Marriott,23,Yes,0,Yes,Leisure Travel,72.07766518,Bronze
145,Public Sector,,Male,MBA,Divorced,,3.41,Marriott,,Yes,0,Yes,Business,42.79483597,Silver
146,Private Sector,,,Associate Degree,Divorced,0,3.65,IHG,2,No,20,No,Business,392.4729993,Silver
147,Business,53,Male,Technical/Occupational Certificate,Single,0,2.64,IHG,28,No,6,Yes,Business,139.2273231,Silver
148,Business,49,Female,Bachelors Degree,Divorced,0,2.79,None,13,No,9,No,Medical Tourism,5024.531958,Bronze
149,Private Sector,,Female,MBA,Married,,3.19,Jumeirah,19,No,15,Yes,Business,6.25696E-07,Silver
150,Business,,Female,High School Equivalent,Married,,2.71,IHG,,No,13,Yes,Medical Tourism,5.541319976,Silver
151,Private Sector,,Female,Associate Degree,Divorced,,3.87,None,20,Yes,0,No,Leisure Travel,0,Silver
152,Business,39,,High School Equivalent,Single,0,2.69,IHG,5,Yes,0,No,Leisure Travel,1548.023457,Silver
153,Public Sector,58,Female,High School Equivalent,Married,1,2.05,Marriott,35,No,11,Yes,Business,0,Silver
154,Private Sector,21,Male,MBA,Married,1,2.32,None,,No,18,No,Medical Tourism,0,Silver
155,Public Sector,56,Female,MBA,Single,,3.03,Marriott,22,No,17,No,Business,970.8282754,Bronze
156,Business,,Female,Doctorate,Widowed,,2.62,Jumeirah,2,Yes,0,Yes,Leisure Travel,35.09475286,Bronze
157,Business,,,Professional,Widowed,1,2.22,Marriott,19,Yes,0,No,Leisure Travel,0,Silver
158,Private Sector,,Male,MBA,Single,0,2.66,None,15,No,18,Yes,Medical Tourism,0,Silver
159,Business,44,Female,High School Equivalent,Divorced,4,2.92,IHG,27,No,11,Yes,Medical Tourism,0,Silver
160,Private Sector,24,Male,High School Equivalent,Single,0,2.14,Marriott,32,No,4,Yes,Business,93.91778445,Bronze
161,Private Sector,,Male,MBA,Single,0,3.77,Marriott,22,No,14,No,Medical Tourism,0.005016071,Silver
162,Private Sector,19,Male,MBA,Divorced,3,2.75,IHG,44,No,5,Yes,Business,0,Silver
163,Business,34,Male,MBA,Divorced,3,2.66,IHG,49,No,3,Yes,Medical Tourism,14.40796311,Silver
164,Public Sector,25,Male,Bachelors Degree,Single,0,2.21,None,1,No,17,Yes,Leisure Travel,262.8883894,Bronze
165,Business,46,Female,MBA,Single,,3.05,Marriott,11,Yes,0,No,Medical Tourism,3.38908E-06,Silver
166,Private Sector,32,,Associate Degree,Married,1,2.79,Discovery,34,No,20,Yes,Leisure Travel,448.8124399,Silver
167,Private Sector,,Female,High School Equivalent,Single,0,2.43,Marriott,2,No,11,Yes,Business,0,Silver
168,Public Sector,28,Female,High School Equivalent,Married,3,2.77,Marriott,6,Yes,0,Yes,Business,0,Silver
169,Business,32,Male,Professional,Married,,2.67,Marriott,15,No,12,No,Medical Tourism,0.001167288,Silver
170,Public Sector,51,Male,High School Equivalent,Single,0,2.42,Marriott,0,No,1,Yes,Medical Tourism,0,Bronze
171,Public Sector,40,Female,Associate Degree,Single,,3.21,IHG,18,No,7,No,Medical Tourism,0.027785358,Silver
172,,27,Female,MBA,Divorced,,2.26,Marriott,42,No,6,Yes,Business,35557.26801,Gold
173,Public Sector,32,,Bachelors Degree,Single,,3.17,Jumeirah,14,No,20,Yes,Leisure Travel,0,Silver
174,Business,,,Associate Degree,Single,,3.1,Marriott,46,Yes,0,Yes,Medical Tourism,1.52587E-05,Silver
175,Private Sector,33,,High School Equivalent,Widowed,0,2.52,None,36,No,13,No,Medical Tourism,0,Bronze
176,,,,MBA,Widowed,,3.39,Discovery,44,No,12,No,Leisure Travel,7513.224953,Gold
177,Private Sector,56,Male,High School Equivalent,Single,,3.23,None,39,No,3,No,Leisure Travel,0.005008564,Bronze
178,Business,42,,Professional,Divorced,3,2.23,IHG,3,No,20,Yes,Medical Tourism,0,Silver
179,Business,,Female,Associate Degree,Widowed,,2.9,IHG,31,No,2,Yes,Medical Tourism,0,Bronze
180,Business,21,,Bachelors Degree,Single,0,2.4,Discovery,12,No,12,No,Leisure Travel,0,Gold
181,Public Sector,56,Female,High School Equivalent,Divorced,,2.47,IHG,36,No,10,No,Business,14349.21938,Silver
182,Private Sector,,Female,MBA,Married,1,2.04,Expedia,12,No,15,No,Business,0,Silver
183,Private Sector,,Male,High School Equivalent,Married,,3.3,IHG,26,No,3,Yes,Medical Tourism,7.480638904,Silver
184,Public Sector,19,Male,High School Equivalent,Divorced,,3.47,IHG,14,Yes,0,No,Medical Tourism,12794.3389,Silver
185,Public Sector,42,Female,High School Equivalent,Single,0,3.14,None,25,No,11,No,Leisure Travel,3021.612948,Bronze
186,Business,,Female,Bachelors Degree,Divorced,,2.56,Marriott,36,No,17,No,Medical Tourism,14153.07849,Silver
187,Business,39,Female,Bachelors Degree,Divorced,1,3,Marriott,37,Yes,0,Yes,Leisure Travel,0,Bronze
188,Private Sector,39,,High School Equivalent,Single,0,2.47,None,24,No,5,Yes,Business,136.6422443,Bronze
189,Private Sector,24,Female,Bachelors Degree,Married,,2.38,Marriott,29,No,18,No,Medical Tourism,2.015927762,Bronze
190,,,,High School Equivalent,Married,1,2.75,Discovery,40,No,13,No,Business,3028.028864,Bronze
191,Public Sector,21,Male,High School Equivalent,Divorced,0,2.79,IHG,10,Yes,0,No,Medical Tourism,67.60502838,Silver
192,Private Sector,34,Female,MBA,Single,,2.7,Jumeirah,,No,18,No,Medical Tourism,0,Silver
193,Private Sector,23,Female,Associate Degree,Married,1,2.58,IHG,25,Yes,0,Yes,Leisure Travel,187.8986295,Silver
194,Business,,Female,High School Equivalent,Married,,2.45,None,33,No,6,Yes,Leisure Travel,3946.636758,Bronze
195,Private Sector,45,Female,High School Equivalent,Single,,3.46,None,0,No,2,No,Business,1979.694649,Silver
196,Business,,,High School Equivalent,Divorced,,3.35,IHG,31,No,11,No,Business,0.293354221,Bronze
197,Public Sector,33,Male,MBA,Divorced,2,2.91,IHG,22,No,19,Yes,Business,249.3025757,Bronze
198,Private Sector,,Female,Bachelors Degree,Married,2,3.6,IHG,7,No,14,Yes,Medical Tourism,3073.121145,Gold
199,Private Sector,44,Male,High School Equivalent,Single,0,3.15,Discovery,,No,12,No,Medical Tourism,0.076678494,Silver
200,Public Sector,,Male,Professional,Divorced,,2.93,Discovery,10,No,12,Yes,Medical Tourism,7196.929313,Bronze
201,Public Sector,60,Female,MBA,Single,0,3.26,IHG,46,No,11,Yes,Leisure Travel,10786.5658,Bronze
202,Private Sector,35,Female,High School Equivalent,Widowed,1,3.45,Expedia,26,No,14,Yes,Leisure Travel,0,Bronze
203,Public Sector,47,,Masters Degree,Single,,3.34,IHG,9,No,4,Yes,Business,41.09131715,Silver
204,Private Sector,33,Male,High School Equivalent,Single,,2.73,Jumeirah,30,Yes,0,No,Business,0,Silver
205,Private Sector,,Male,High School Equivalent,Single,0,4,IHG,18,No,13,No,Medical Tourism,0.006183969,Silver
206,Public Sector,,Male,High School Equivalent,Married,1,2.34,Discovery,7,No,10,No,Business,0,Silver
207,Public Sector,,,MBA,Single,,2.05,Hilton,26,No,19,No,Medical Tourism,24294.40898,Silver
208,Business,,,Doctorate,Divorced,,2.89,Hilton,7,Yes,0,No,Medical Tourism,512.9617617,Silver
209,Business,43,Female,High School Equivalent,Married,,3.22,Hilton,29,No,7,Yes,Business,1497.545499,Silver
210,Private Sector,21,Male,High School Equivalent,Married,1,2.69,Marriott,,No,18,Yes,Medical Tourism,20682.28325,Silver
211,Public Sector,53,,Associate Degree,Married,1,2.94,None,44,No,6,Yes,Leisure Travel,42.45845016,Bronze
212,Self-Employed,45,,Technical/Occupational Certificate,Single,0,2.43,IHG,38,No,6,Yes,Medical Tourism,0,Bronze
213,Private Sector,,Female,Associate Degree,Married,,2.75,None,11,No,6,No,Medical Tourism,2316.139125,Bronze
214,Public Sector,,,MBA,Divorced,,2.67,None,28,Yes,0,Yes,Leisure Travel,0,Bronze
215,Private Sector,,Female,Masters Degree,Married,1,2.15,None,7,No,15,No,Business,456.9241231,Gold
216,Private Sector,48,Female,High School Equivalent,Married,,3.32,Marriott,45,No,20,Yes,Medical Tourism,178.5156537,Bronze
217,Private Sector,,Female,Bachelors Degree,Widowed,,2.76,IHG,43,No,1,Yes,Medical Tourism,3091.551236,Bronze
218,Private Sector,41,,High School Equivalent,Divorced,1,2.87,Marriott,30,No,6,Yes,Leisure Travel,0,Bronze
219,,,Male,MBA,Single,,3.06,None,48,No,9,No,Medical Tourism,0,Silver
220,Private Sector,34,,High School Equivalent,Divorced,,2.95,Marriott,0,Yes,0,No,Leisure Travel,2269.821951,Silver
221,Self-Employed,,Female,Associate Degree,Married,,2.1,Discovery,49,Yes,0,No,Medical Tourism,0,Silver
222,Business,,Female,High School Equivalent,Married,1,3.65,IHG,49,Yes,0,No,Leisure Travel,0,Silver
223,Private Sector,40,Female,Bachelors Degree,Married,1,3.53,IHG,27,Yes,0,Yes,Leisure Travel,4.06498717,Silver
224,Public Sector,,Male,Bachelors Degree,Married,,2.74,Expedia,28,No,3,Yes,Medical Tourism,5.22359E-08,Bronze
225,Business,,Female,High School Equivalent,Single,0,3.21,IHG,48,No,12,Yes,Medical Tourism,2.876060411,Silver
226,Private Sector,44,Female,MBA,Divorced,,2.34,IHG,42,Yes,0,No,Business,0,Silver
227,Public Sector,,Male,Associate Degree,Single,,2.76,Jumeirah,33,No,2,Yes,Business,1177.784331,Bronze
228,Private Sector,41,Male,Masters Degree,Divorced,,3.57,Marriott,10,No,14,Yes,Leisure Travel,6.35732E-05,Silver
229,Public Sector,,Male,High School Equivalent,Single,,2.67,Expedia,2,No,20,Yes,Leisure Travel,428.0164606,Silver
230,Private Sector,,Female,Bachelors Degree,Single,0,2.48,Jumeirah,20,Yes,0,No,Medical Tourism,20505.7349,Silver
231,Public Sector,59,Female,Associate Degree,Widowed,1,3.05,IHG,23,No,6,No,Business,289.3184515,Bronze
232,Public Sector,46,,MBA,Single,0,3.24,None,48,Yes,0,Yes,Medical Tourism,151.1322913,Silver
233,Business,18,Male,High School Equivalent,Single,0,2.09,Marriott,41,No,20,Yes,Medical Tourism,626.833733,Bronze
234,Business,,Female,Doctorate,Married,,3.38,IHG,3,No,20,Yes,Leisure Travel,0,Bronze
235,Private Sector,21,,Masters Degree,Married,,2.92,None,41,No,2,No,Medical Tourism,38.73790377,Silver
236,Private Sector,,Female,Doctorate,Widowed,,2.43,IHG,43,Yes,0,Yes,Business,0,Silver
237,Business,,Male,Masters Degree,Married,0,2.64,Hilton,22,No,12,Yes,Medical Tourism,0,Bronze
238,Business,59,Female,MBA,Married,,3.39,None,32,Yes,0,Yes,Business,0,Bronze
239,Public Sector,,,High School Equivalent,Divorced,1,3.52,None,29,No,7,No,Medical Tourism,7154.727582,Bronze
240,Private Sector,,Male,Associate Degree,Married,,2.88,IHG,17,No,15,No,Medical Tourism,1.23638E-07,Silver
241,Private Sector,,Female,High School Equivalent,Married,1,3.17,IHG,40,Yes,0,No,Medical Tourism,39.53845647,Silver
242,Public Sector,,Male,High School Equivalent,Married,0,2.34,IHG,21,Yes,0,No,Business,0,Silver
243,Business,56,Female,Associate Degree,Married,,3.74,Marriott,9,Yes,0,Yes,Leisure Travel,0,Silver
244,Private Sector,46,Female,High School Equivalent,Single,0,2.97,IHG,24,Yes,0,Yes,Medical Tourism,133.8869211,Silver
245,Public Sector,35,,High School Equivalent,Married,1,2.17,Marriott,11,No,3,No,Medical Tourism,0,Silver
